,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90s,Ast/90s,G+A/90s,G-PK/90s,G+A-PK,xG/90s,xAG/90s,xG+xAG,npxG/90s,npxG+xAG/90s,XG-Overperformance,xAG-Overperformance
0,1,Max Aarons,ENG,DF,Bournemouth,24,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,Joshua Acheampong,ENG,DF,Chelsea,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,-0.2,0.0
2,3,Tyler Adams,USA,MF,Bournemouth,25,1999,28,21,1965,21.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,0.0,0.14,0.14,0.0,0.14,0.07,0.05,0.12,0.07,0.12,-1.6,2.0
3,4,Tosin Adarabioyo,ENG,DF,Chelsea,26,1997,22,15,1409,15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,0.1,0.8
4,5,Simon Adingra,CIV,"FW,MF",Brighton,22,2002,29,12,1097,12.2,2,2,4,2,0,0,0,0,2.5,2.5,2.5,4.9,50,18,136,0.16,0.16,0.33,0.16,0.33,0.2,0.2,0.4,0.2,0.4,-0.5,-0.5
5,6,Emmanuel Agbadou,CIV,DF,Wolves,27,1997,16,16,1410,15.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,31,2,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,0.2,-0.2
6,7,Asher Agbinone,ENG,MF,Crystal Palace,18,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,0.0,0.0
7,8,Ola Aina,NGA,DF,Nott'ham Forest,27,1996,35,35,2995,33.3,2,1,3,2,0,0,5,0,0.6,0.6,1.4,2.1,67,107,67,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,1.4,-0.4
8,9,Rayan Aït-Nouri,ALG,DF,Wolves,23,2001,37,37,3109,34.5,4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.2,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24,1.3,1.5
9,10,Kristoffer Ajer,NOR,DF,Brentford,26,1998,24,17,1438,16.0,0,0,0,0,0,0,5,0,1.0,1.0,1.2,2.2,27,56,44,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,-1.0,-1.2
10,11,Manuel Akanji,SUI,DF,Manchester City,29,1995,26,23,2014,22.4,0,0,0,0,0,0,3,0,1.6,1.6,0.4,1.9,46,158,7,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,-1.6,-0.4
11,12,Nathan Aké,NED,DF,Manchester City,29,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,-0.2,0.0
